2025-10-20 22:23:16,094 - MainProcess - INFO - Starting processing with 8 workers, batch size of 1000, and task timeout of 300s.
2025-10-20 22:23:17,989 - ForkProcess-3 - WARNING - [4tim] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 76 O, 3, is greater than permitted
2025-10-20 22:23:18,022 - ForkProcess-4 - WARNING - [2mip] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 311 O, 3, is greater than permitted
2025-10-20 22:23:18,081 - ForkProcess-8 - WARNING - [1rne] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 377 O, 3, is greater than permitted
2025-10-20 22:23:18,200 - ForkProcess-7 - WARNING - [4phv] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 296 O, 3, is greater than permitted
2025-10-20 22:23:18,208 - ForkProcess-5 - WARNING - [2er0] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 26 O, 3, is greater than permitted
2025-10-20 22:23:18,214 - ForkProcess-1 - WARNING - [2er9] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 91 O, 3, is greater than permitted
2025-10-20 22:23:18,349 - ForkProcess-4 - WARNING - [1abf] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 47 O, 3, is greater than permitted
2025-10-20 22:23:18,438 - ForkProcess-2 - WARNING - [8hvp] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 319 O, 3, is greater than permitted
2025-10-20 22:23:18,468 - ForkProcess-3 - WARNING - [7hvp] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 333 O, 3, is greater than permitted
2025-10-20 22:23:18,517 - ForkProcess-7 - WARNING - [1hiv] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 50 O, 3, is greater than permitted
2025-10-20 22:23:18,520 - ForkProcess-1 - WARNING - [1hos] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 50 O, 3, is greater than permitted
2025-10-20 22:23:18,547 - ForkProcess-6 - WARNING - [1ppm] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 23 O, 3, is greater than permitted
2025-10-20 22:23:18,547 - ForkProcess-4 - WARNING - [1ppl] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 23 O, 3, is greater than permitted
2025-10-20 22:23:18,610 - ForkProcess-1 - WARNING - [1ivp] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 300 O, 3, is greater than permitted
2025-10-20 22:23:18,649 - ForkProcess-2 - WARNING - [1trd] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 92 O, 3, is greater than permitted
2025-10-20 22:23:18,689 - ForkProcess-7 - WARNING - [1htf] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 26 O, 3, is greater than permitted
2025-10-20 22:23:18,700 - ForkProcess-1 - WARNING - [2hmb] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 183 C, 5, is greater than permitted
2025-10-20 22:23:18,765 - ForkProcess-4 - WARNING - [1htg] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 355 O, 3, is greater than permitted
2025-10-20 22:23:18,842 - ForkProcess-1 - WARNING - [1acj] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 125 O, 3, is greater than permitted
2025-10-20 22:23:18,857 - ForkProcess-8 - WARNING - [1hsl] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 41 O, 3, is greater than permitted
2025-10-20 22:23:18,966 - ForkProcess-5 - WARNING - [1tka] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 133 O, 3, is greater than permitted
2025-10-20 22:23:19,032 - ForkProcess-8 - WARNING - [1tkc] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 143 O, 3, is greater than permitted
2025-10-20 22:23:19,233 - ForkProcess-3 - WARNING - [2cgr] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 32 O, 3, is greater than permitted
2025-10-20 22:23:19,326 - ForkProcess-6 - WARNING - [1add] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 390 O, 3, is greater than permitted
2025-10-20 22:23:19,344 - ForkProcess-7 - WARNING - [1wht] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 220 O, 3, is greater than permitted
2025-10-20 22:23:19,547 - ForkProcess-4 - WARNING - [1hps] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 50 O, 3, is greater than permitted
2025-10-20 22:23:19,624 - ForkProcess-2 - WARNING - [1ett] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 121 O, 3, is greater than permitted
2025-10-20 22:23:19,716 - ForkProcess-1 - WARNING - [1csi] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 445 O, 3, is greater than permitted
2025-10-20 22:23:19,765 - ForkProcess-6 - WARNING - [1apw] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 23 O, 3, is greater than permitted
2025-10-20 22:23:19,787 - ForkProcess-4 - WARNING - [1tkb] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 143 O, 3, is greater than permitted
2025-10-20 22:23:19,804 - ForkProcess-2 - WARNING - [1ent] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 305 O, 3, is greater than permitted
2025-10-20 22:23:19,817 - ForkProcess-7 - WARNING - [1epo] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 280 O, 3, is greater than permitted
2025-10-20 22:23:19,935 - ForkProcess-3 - WARNING - [1hvl] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 50 O, 3, is greater than permitted
2025-10-20 22:23:19,935 - ForkProcess-5 - WARNING - [1hvi] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 69 O, 3, is greater than permitted
2025-10-20 22:23:19,978 - ForkProcess-4 - WARNING - [1eed] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 305 O, 3, is greater than permitted
2025-10-20 22:23:20,007 - ForkProcess-1 - WARNING - [1hef] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 263 O, 3, is greater than permitted
2025-10-20 22:23:20,009 - ForkProcess-8 - WARNING - [1sbg] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 263 O, 3, is greater than permitted
2025-10-20 22:23:20,018 - ForkProcess-2 - WARNING - [1heg] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 50 O, 3, is greater than permitted
2025-10-20 22:23:20,023 - ForkProcess-6 - WARNING - [1hvk] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 69 O, 3, is greater than permitted
2025-10-20 22:23:20,027 - ForkProcess-3 - WARNING - [1apv] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 23 O, 3, is greater than permitted
2025-10-20 22:23:20,103 - ForkProcess-4 - WARNING - [1ppk] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 23 O, 3, is greater than permitted
2025-10-20 22:23:20,143 - ForkProcess-5 - WARNING - [1aaq] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 50 O, 3, is greater than permitted
2025-10-20 22:23:20,155 - ForkProcess-2 - WARNING - [1lyb] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 316 O, 3, is greater than permitted
2025-10-20 22:23:20,177 - ForkProcess-1 - WARNING - [1csh] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 445 O, 3, is greater than permitted
2025-10-20 22:23:20,204 - ForkProcess-4 - WARNING - [1hvj] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 69 O, 3, is greater than permitted
2025-10-20 22:23:20,210 - ForkProcess-3 - WARNING - [1epp] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 26 O, 3, is greater than permitted
2025-10-20 22:23:20,216 - ForkProcess-6 - WARNING - [1epq] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 292 O, 3, is greater than permitted
2025-10-20 22:23:20,288 - ForkProcess-3 - WARNING - [1siv] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 285 O, 3, is greater than permitted
2025-10-20 22:23:20,295 - ForkProcess-6 - WARNING - [1ida] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 317 O, 3, is greater than permitted
2025-10-20 22:23:20,364 - ForkProcess-1 - WARNING - [1idb] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 50 O, 3, is greater than permitted
2025-10-20 22:23:20,437 - ForkProcess-3 - WARNING - [1hrn] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 296 O, 3, is greater than permitted
2025-10-20 22:23:20,759 - ForkProcess-8 - WARNING - [1prm] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 28 O, 3, is greater than permitted
2025-10-20 22:23:20,855 - ForkProcess-8 - WARNING - [2ada] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 312 O, 3, is greater than permitted
2025-10-20 22:23:20,942 - ForkProcess-6 - WARNING - [1hvr] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 50 O, 3, is greater than permitted
2025-10-20 22:23:20,974 - ForkProcess-2 - WARNING - [1tpw] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 109 O, 3, is greater than permitted
2025-10-20 22:23:20,990 - ForkProcess-5 - WARNING - [1hpv] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 258 O, 3, is greater than permitted
2025-10-20 22:23:21,033 - ForkProcess-3 - WARNING - [1css] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 445 O, 3, is greater than permitted
2025-10-20 22:23:21,137 - ForkProcess-6 - WARNING - [1fiv] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 50 O, 3, is greater than permitted
2025-10-20 22:23:21,154 - ForkProcess-5 - WARNING - [1hbv] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 263 O, 3, is greater than permitted
2025-10-20 22:23:21,218 - ForkProcess-4 - WARNING - [1csr] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 464 O, 3, is greater than permitted
2025-10-20 22:23:21,223 - ForkProcess-6 - WARNING - [1hii] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 280 O, 3, is greater than permitted
2025-10-20 22:23:21,227 - ForkProcess-2 - WARNING - [1hvs] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 271 O, 3, is greater than permitted
2025-10-20 22:23:21,264 - ForkProcess-1 - WARNING - [1ppi] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 265 O, 3, is greater than permitted
2025-10-20 22:23:21,265 - ForkProcess-8 - WARNING - [1hih] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 50 O, 3, is greater than permitted
2025-10-20 22:23:21,386 - ForkProcess-7 - WARNING - [1bil] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 296 O, 3, is greater than permitted
2025-10-20 22:23:21,452 - ForkProcess-6 - WARNING - [1cpi] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 50 O, 3, is greater than permitted
2025-10-20 22:23:21,513 - ForkProcess-2 - WARNING - [1inh] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 161 O, 3, is greater than permitted
2025-10-20 22:23:22,207 - ForkProcess-8 - WARNING - [1pot] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 127 O, 3, is greater than permitted
2025-10-20 22:23:22,426 - ForkProcess-6 - WARNING - [1fmb] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 234 O, 3, is greater than permitted
2025-10-20 22:23:22,574 - ForkProcess-7 - WARNING - [2upj] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 305 O, 3, is greater than permitted
2025-10-20 22:23:22,629 - ForkProcess-6 - WARNING - [1hsg] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 321 O, 3, is greater than permitted
2025-10-20 22:23:22,647 - ForkProcess-8 - WARNING - [1hsh] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 294 O, 3, is greater than permitted
2025-10-20 22:23:22,736 - ForkProcess-8 - WARNING - [1tcx] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 266 O, 3, is greater than permitted
2025-10-20 22:23:22,784 - ForkProcess-3 - WARNING - [1gno] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 204 O, 3, is greater than permitted
2025-10-20 22:23:22,815 - ForkProcess-7 - WARNING - [1gnn] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 263 O, 3, is greater than permitted
2025-10-20 22:23:22,819 - ForkProcess-5 - WARNING - [1dif] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 320 O, 3, is greater than permitted
2025-10-20 22:23:22,904 - ForkProcess-8 - WARNING - [1gnm] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 273 O, 3, is greater than permitted
2025-10-20 22:23:22,905 - ForkProcess-7 - WARNING - [1mtr] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 50 O, 3, is greater than permitted
2025-10-20 22:23:22,908 - ForkProcess-2 - WARNING - [1hpx] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 50 O, 3, is greater than permitted
2025-10-20 22:23:22,934 - ForkProcess-3 - WARNING - [1pro] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 310 O, 3, is greater than permitted
2025-10-20 22:23:23,114 - ForkProcess-4 - WARNING - [1fkw] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 358 O, 3, is greater than permitted
2025-10-20 22:23:23,153 - ForkProcess-3 - WARNING - [1jld] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 280 O, 3, is greater than permitted
2025-10-20 22:23:23,808 - ForkProcess-1 - WARNING - [1rbo] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 7 O, 3, is greater than permitted
2025-10-20 22:23:23,884 - ForkProcess-1 - WARNING - [1qbt] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 341 O, 3, is greater than permitted
2025-10-20 22:23:23,915 - ForkProcess-6 - WARNING - [1qbr] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 50 O, 3, is greater than permitted
2025-10-20 22:23:23,951 - ForkProcess-2 - WARNING - [1qbu] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 322 O, 3, is greater than permitted
2025-10-20 22:23:24,019 - ForkProcess-6 - WARNING - [1hxb] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 292 O, 3, is greater than permitted
2025-10-20 22:23:24,077 - ForkProcess-7 - WARNING - [1dmp] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 263 O, 3, is greater than permitted
2025-10-20 22:23:24,111 - ForkProcess-4 - WARNING - [1qbs] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 50 O, 3, is greater than permitted
2025-10-20 22:23:24,118 - ForkProcess-2 - WARNING - [1sqc] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 199 O, 3, is greater than permitted
2025-10-20 22:23:24,179 - ForkProcess-8 - WARNING - [1hpo] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 69 O, 3, is greater than permitted
2025-10-20 22:23:24,265 - ForkProcess-6 - WARNING - [1uvu] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 88 O, 3, is greater than permitted
2025-10-20 22:23:24,283 - ForkProcess-3 - WARNING - [1ajx] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 263 O, 3, is greater than permitted
2025-10-20 22:23:24,322 - ForkProcess-1 - WARNING - [3aid] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 50 O, 3, is greater than permitted
2025-10-20 22:23:24,366 - ForkProcess-3 - WARNING - [1ajv] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 282 O, 3, is greater than permitted
2025-10-20 22:23:24,464 - ForkProcess-6 - WARNING - [7upj] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 239 O, 3, is greater than permitted
2025-10-20 22:23:24,546 - ForkProcess-1 - WARNING - [1fax] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 99 O, 3, is greater than permitted
2025-10-20 22:23:24,554 - ForkProcess-2 - WARNING - [6upj] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 152 O, 3, is greater than permitted
2025-10-20 22:23:24,562 - ForkProcess-6 - WARNING - [1uvs] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 158 O, 3, is greater than permitted
2025-10-20 22:23:24,628 - ForkProcess-4 - WARNING - [1amk] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 76 O, 3, is greater than permitted
2025-10-20 22:23:24,675 - ForkProcess-2 - WARNING - [1sme] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 300 O, 3, is greater than permitted
2025-10-20 22:23:24,715 - ForkProcess-5 - WARNING - [2jxr] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 53 O, 3, is greater than permitted
2025-10-20 22:23:24,740 - ForkProcess-6 - WARNING - [5upj] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 145 O, 3, is greater than permitted
2025-10-20 22:23:24,755 - ForkProcess-1 - WARNING - [1vik] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 50 O, 3, is greater than permitted
2025-10-20 22:23:25,386 - ForkProcess-5 - WARNING - [1wdn] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 40 O, 3, is greater than permitted
2025-10-20 22:23:25,581 - ForkProcess-8 - WARNING - [1lvk] Could not sanitize ligand molecule. Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 36 Be, 6, is greater than permitted
2025-10-20 22:23:25,736 - ForkProcess-8 - WARNING - [1axs] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 32 O, 3, is greater than permitted
2025-10-20 22:23:25,920 - ForkProcess-8 - WARNING - [4tmk] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 34 O, 3, is greater than permitted
